адмиралтейский,"м. ""Нарвская"", сквер на углу Старо-Петергофского пр. и наб. Обводного канала"
адмиралтейский,"м. ""Садовая"", сад Маршала Говорова, угол наб. реки Фонтанки и Московского пр."
василеостровский,"м. ""Приморская"", ул. Нахимова, 1, ""Экологический волонтёрский центр"""
выборгский,"м. ""Площадь мужества"", пр. Тореза, 8"
выборгский,"м. ""Озерки"", пр. Луначарского, 11/1 - ЖК ""Поэма у трех озер"" со стороны пр. Энгельса"
калининский,"м. Гражданский проспект, сквер на углу пр. Просвещения и ул. Д.Бедного у скульптуры ""Прометей"""
кировский,"м. ""Кировский проспект"", угол пр. Стачек и ул. Корнеева"
кировский,"угол пр. Ветеранов и ул. Козлова, у парка Александрино"
красногвардейский,"м. ""Ладожская"", угол пр. Косыгина и Индустриального пр., на стороне супермаркета ""О'кей"""
красногвардейский,"ул.Маршала Тухачевского, 31, перед библиотекой, у магазина ""Дикси"""
красносельский,угол Петергофского ш. и ул. Доблести
красносельский,"угол Петергофского ш. и ул. Адмирала Трибуца,на стороне БЦ ""Балтийская Жемчужина"""
красносельский,"г. Красное село, пр. Ленина, 49/8, напротив Красносельского ДК"
кронштадтский,"г. Кронштадт, ул. Советская, 35, у Дворца Молодежи"
московский,"м. ""Электросила"", ул Благодатная, 20"
невский,"м. ""Проспект Большевиков"", Клочков мост за Ледовым дворцом"
петроградский,"м. ""Спортивная"", Любанский переулок - сквер Виктора Цоя"
петродворйовый,угол Санкт-Петербургского пр. и Мастерового переулка
приморский,угол ул. Долгоозерной и Комендантского пр.
приморский,"м. ""Пионерская"", боковая парковка у ""Леруа Мерлен"" со стороны пр. Испытателей"
фрунзенский,"ул. Софийская, 44 - контейнерная площадка у ЦСК ""Факел"""
фрунзенский,"м. ""Купчино"", угол ул. Купчинская и ул. О.Дундича"
центральный,"м.""Владимирская""/""Маяковская"", ул. Марата, 23 - у кафе ""Укроп"""
